objectid,filename,title,publisher,creator,date,description,format,genre,medium,subject,location,latitude,longitude,language,is_part_of,collection,source,object_location,reference_url,rights,rightsstatement,parentid
c_stone_009,Military_Affairs_in_Egypt.pdf,Military Affairs in Egypt,Military Service Institution of the United States Journal,Charles Pomeroy Stone,1884,An overview of the military affairs of Egypt.,application/pdf,speech,article,Charles Pomeroy Stone,,,,English,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_010,stone_union2.jpg,Brig. Gen. Charles P. Stone and daughter Hettie,,unknown,1863,"Photograph of Charles Pomeroy Stone wearing United States Army uniform taken in a studio in America during the Civil War. His daughter, Hettie, sits at his side.",image/jpg,portrait,photograph,Charles Pomeroy Stone,,,,,,,,,https://loc.gov/pictures/resource/cwpb.04444/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_011,stone_union3.jpg,untitled,,unknown,,"Photograph of Charles Pomeroy Stone wearing United States Army uniform, taken in a studio in America during the Civil War.",image/jpg,portrait,photograph,Charles Pomeroy Stone,,,,,,,,,https://en.wikipedia.org/wiki/Charles_Pomeroy_Stone#/media/File:C_P_Stone_UA_ACW.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_012,stone_order.pdf,Special Order No. 19,,Charles Pomeroy Stone,1870,Special Order written by Charles Pomeroy Stone as the Chief-of-Staff  reassigning James Morris Morgan for staff duty.,application/pdf,special order,report,Charles Pomeroy Stone; James Morris Morgan; Hearnwell W. Freeman,"Cairo, Egypt",30.033333,31.233334,English,,,,,https://finding-aids.lib.unc.edu/catalog/00524,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_013,stone_order2.pdf,Special Order No. 1 ,,Charles Pomeroy Stone,1871,Special Order written by Charles Pomeroy Stone as the Chief-of-Staff  reassigning James Morris Morgan for staff duty under Beverly Kennon.,application/pdf,special order,report,Charles Pomeroy Stone; James Morris Morgan; Beverly Kennon; Hearnwell W. Freeman,"Cairo, Egypt",30.033333,31.233334,English,,,,,https://finding-aids.lib.unc.edu/catalog/00524,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_014,stone_order3.pdf,Special Order No. 3,,Charles Pomeroy Stone,1871,Special Order written by Charles Pomeroy Stone as the Chief-of-Staff  reassigning James Morris Morgan for staff duty under William Wing Loring.,application/pdf,special order,report,Charles Pomeroy Stone; James Morris Morgan; William Wing Loring,"Cairo, Egypt",30.033333,31.233334,English,,,,,https://finding-aids.lib.unc.edu/catalog/00524,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_015,stone_letter.pdf,untitled,,Charles Pomeroy Stone,1871,Letter written by Charles Pomeroy Stone to William Wing Loring regarding the resignation of James Morris Morgan.,application/pdf,letter,,Charles Pomeroy Stone; William Wing Loring; James Morris Morgan; Alexander Welch Reynolds,"Cairo, Egypt",30.033333,31.233334,English,,,,,https://finding-aids.lib.unc.edu/catalog/00524,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_016,stone_letter2.pdf,untitled,,Charles Pomeroy Stone,1871,Letter written by Charles Pomeroy Stone to James Morris Morgan regarding his horse.,application/pdf,letter,,Charles Pomeroy Stone; James Morris Morgan,"Cairo, Egypt",30.033333,31.233334,English,,,,,https://finding-aids.lib.unc.edu/catalog/00524,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
b_kennon,,Beverly Kennon,,,,,compound_object,,,Beverly Kennon,,,,,,,,,,,,
b_kennon_001,kennon_egypt.jpg,Colonel Beverly Kennon,Houghton Mifflin Co.,unknown,,"Print of Beverly Kennon wearing Egyptian Army Full Dress uniform in a studio in Cairo, Egypt.",image/jpg,portrait,photograph,Beverly Kennon,"Cairo, Egypt",30.033333,31.233334,,,,,,https://books.google.com/books/about/Recollections_of_a_Rebel_Reefer.html?id=tDZ3AAAAMAAJ&source=kp_book_description,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,b_kennon
b_kennon_002,kennon_egypt2.jpeg,Colonel Beverly Kennon,Hutchinson and Co.,unknown,,Photograph of Beverly Kennon wearing Egyptian Army Full Dress uniform taken at a studio.,image/jpg,portrait,photograph,Beverly Kennon,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,b_kennon
w_campbell,,William P. A. Campbell,,,,,compound_object,,,William P. A. Campbell,,,,,,,,,,,,
w_campbell_001,campbell_egypt.jpg,Major W. P. A. Campbell,Houghton Mifflin Co.,unknown,1870,"Photograph of William P. A. Campbell wearing Egyptian Army Full Dress uniform taken in a studio in Cairo, Egypt in 1870.",image/jpg,portrait,photograph,William P. A. Campbell,"Cairo, Egypt",30.033333,31.233334,,,,,,https://books.google.com/books/about/Recollections_of_a_Rebel_Reefer.html?id=tDZ3AAAAMAAJ&source=kp_book_description,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_campbell
c_long,,Charles Chaille-Long,,,,,compound_object,,,Charles Chaille-Long,,,,,,,,,,,,
c_long_001,long_print.png,Colonel C. Chaille Long-Bey,Harper & Brothers Publishers,Charles Chaille-Long,1877,Print of Charles Chaille-Long wearing Egyptian Army Full Dress uniform in a studio.,image/png,portrait,print,Charles Chaille-Long,,,,,,,,,https://archive.org/details/centralafricanak00chai/page/n5/mode/2up,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_long
c_long_002,Central_Africa_Naked_Truths.pdf,Central Africa: Naked Truths of Naked People,Harper & Brothers Publishers,Charles Chaille-Long,1877,A book written by Charles Chaille-Long detailing his experiences exploring the interior of Africa during his Egyptian service.,application/pdf,memoir,book,Charles Chaille-Long; Frank A. Reynolds; Henry Goslee Prout; William P. A. Campbell,"New York, NY, USA",40.73061,-73.935242,English,,,,,https://archive.org/details/centralafricanak00chai/page/n5/mode/2up,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_long
c_long_003,The_Three_Prophets.pdf,"The Three Prophets: Chinese Gordon, Mohammed-Ahmed (El Maahdi), Arabi Pasha",D. Appleton and Company,Charles Chaille-Long,1884,A book written by Charles Chaille-Long that focuses on the causes and effects of the British bombardment of Alexandria in 1882. The book focuses on three figures in particular who influenced these events.,application/pdf,history,book,Charles Chaille-Long; William Wing Loring; James Morris Morgan; Charles Pomeroy Stone; Thaddeus Phelps Mott; Alexander Macomb Mason; Walter Hanson Jenifer; Beverly Kennon; William P. A. Campbell,"New York, NY, USA",40.73061,-73.935242,English,,,,,https://www.google.com/books/edition/The_Three_Prophets_Chinese_Gordon_Mohamm/73sLAAAAIAAJ?hl=en&gbpv=0,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_long
c_long_004,My_Life_in_Four_Continents.pdf,My Life in Four Continents,Hutchinson and Co.,Charles Chaille-Long,1912,Memoir of Charles Chaille-Long that documents his military service in multiple countries around the world.,application/pdf,memoir,book,Charles Chaille-Long; William Wing Loring; James Morris Morgan; Charles Pomeroy Stone; Thaddeus Phelps Mott; Alexander Macomb Mason; Walter Hanson Jenifer; Beverly Kennon; William H. Ward; William P. A. Campbell; Robert Morris Rogers; Chancellor Martin; Eugene Oscar Fechet; James Alfred Dennison; Henry Hopkins Sibley; Raleigh Edward Colston; Alexander Welch Reynolds; Frank A. Reynolds; Henry Clay Derrick; William McEntyre Dye; Charles William Field; Samuel Henry Lockett; Henry Ronald Hislop Douglas MacIver; Erastus Sparrow Purdy; Henry Goslee Prout; Horatio Blake Reed; Vanderbilt Allen; James Bassel; Thomas Grimke Rhett; William W. Dunlap; Charles Iverson Graves; Edmund Parys; D. G. White; Hearnwell W. Freeman; Cornelius E. Hunt; Wilburn Briggs Hall; Robert Schuyler Lamson; Charles Frederick Loshe; Henry Irgins; David Essex Porter; Edward Warren; Thomas Dickinson Johnson; William H. Wilson; Richard Henry Savage,"London, UK",51.5072,0.1276,English,,,,,https://www.google.com/books/edition/My_Life_in_Four_Continents/XGVmAAAAMAAJ?hl=en&gbpv=0,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_long
